date,next_date,number,freq_7days,freq_prev_day,is_cau_ngang,is_cau_cheo,label
14-9-2025,15-9-2025,03,1,0,1,1,0.0
14-9-2025,15-9-2025,04,1,1,0,1,0.0
14-9-2025,15-9-2025,05,2,0,0,1,0.0
14-9-2025,15-9-2025,06,0,0,0,1,0.0
14-9-2025,15-9-2025,07,0,0,0,1,1.0
14-9-2025,15-9-2025,08,0,0,0,1,0.0
14-9-2025,15-9-2025,09,2,0,0,1,0.0
14-9-2025,15-9-2025,10,1,0,0,1,0.0
14-9-2025,15-9-2025,11,2,1,1,1,0.0
14-9-2025,15-9-2025,12,2,0,0,1,0.0
14-9-2025,15-9-2025,13,1,0,0,1,0.0
14-9-2025,15-9-2025,14,4,1,1,1,0.0
14-9-2025,15-9-2025,15,0,0,0,1,0.0
14-9-2025,15-9-2025,16,1,0,1,1,1.0
14-9-2025,15-9-2025,17,3,0,0,1,0.0
14-9-2025,15-9-2025,18,2,0,0,1,0.0
14-9-2025,15-9-2025,19,2,0,0,1,1.0
14-9-2025,15-9-2025,20,2,0,0,1,0.0
14-9-2025,15-9-2025,21,1,0,1,1,0.0
14-9-2025,15-9-2025,22,1,0,0,1,1.0
14-9-2025,15-9-2025,23,3,0,0,1,0.0
14-9-2025,15-9-2025,24,4,1,0,1,1.0
14-9-2025,15-9-2025,25,2,0,0,1,0.0
14-9-2025,15-9-2025,26,3,0,0,1,1.0
14-9-2025,15-9-2025,27,0,0,0,1,1.0
14-9-2025,15-9-2025,28,2,1,0,1,0.0
14-9-2025,15-9-2025,29,2,1,0,1,0.0
14-9-2025,15-9-2025,30,1,0,0,1,0.0
14-9-2025,15-9-2025,31,2,0,0,1,1.0
14-9-2025,15-9-2025,32,3,0,0,1,1.0
14-9-2025,15-9-2025,33,1,0,1,1,1.0
14-9-2025,15-9-2025,34,3,1,0,1,0.0
14-9-2025,15-9-2025,35,0,0,0,1,0.0
14-9-2025,15-9-2025,36,2,0,0,1,0.0
14-9-2025,15-9-2025,37,2,0,0,1,1.0
14-9-2025,15-9-2025,38,2,1,0,1,0.0
14-9-2025,15-9-2025,39,2,0,1,1,0.0
14-9-2025,15-9-2025,40,2,0,1,1,0.0
14-9-2025,15-9-2025,41,0,0,0,1,0.0
14-9-2025,15-9-2025,42,2,0,1,1,0.0
14-9-2025,15-9-2025,43,3,0,1,1,0.0
14-9-2025,15-9-2025,44,0,0,1,1,1.0
14-9-2025,15-9-2025,45,0,0,0,1,0.0
14-9-2025,15-9-2025,46,2,0,0,1,1.0
14-9-2025,15-9-2025,47,1,0,0,1,0.0
14-9-2025,15-9-2025,48,3,0,0,1,0.0
14-9-2025,15-9-2025,49,2,0,0,1,0.0
14-9-2025,15-9-2025,50,3,1,0,1,0.0
14-9-2025,15-9-2025,51,3,1,0,1,0.0
14-9-2025,15-9-2025,52,1,0,0,1,0.0
14-9-2025,15-9-2025,53,4,1,0,1,0.0
14-9-2025,15-9-2025,54,3,0,0,1,0.0
14-9-2025,15-9-2025,55,1,0,1,1,0.0
14-9-2025,15-9-2025,56,2,0,0,1,0.0
14-9-2025,15-9-2025,57,2,1,0,1,0.0
14-9-2025,15-9-2025,58,2,0,1,1,1.0
14-9-2025,15-9-2025,59,1,0,0,1,0.0
14-9-2025,15-9-2025,60,2,0,0,1,1.0
14-9-2025,15-9-2025,61,0,0,0,1,0.0
14-9-2025,15-9-2025,62,3,0,0,1,0.0
14-9-2025,15-9-2025,63,2,0,0,1,0.0
14-9-2025,15-9-2025,64,0,0,0,1,0.0
14-9-2025,15-9-2025,65,3,1,0,1,1.0
14-9-2025,15-9-2025,66,0,0,0,1,0.0
14-9-2025,15-9-2025,67,0,0,0,1,0.0
14-9-2025,15-9-2025,68,4,0,0,1,0.0
14-9-2025,15-9-2025,69,3,0,0,1,0.0
14-9-2025,15-9-2025,70,1,1,0,1,1.0
14-9-2025,15-9-2025,71,1,0,0,1,0.0
14-9-2025,15-9-2025,72,0,0,0,1,0.0
14-9-2025,15-9-2025,73,1,0,0,1,0.0
14-9-2025,15-9-2025,74,3,1,0,1,0.0
14-9-2025,15-9-2025,75,1,1,1,1,0.0
14-9-2025,15-9-2025,76,1,1,1,1,0.0
14-9-2025,15-9-2025,77,1,0,0,1,0.0
14-9-2025,15-9-2025,78,1,0,0,1,0.0
14-9-2025,15-9-2025,79,0,0,0,1,0.0
14-9-2025,15-9-2025,80,1,1,1,1,0.0
14-9-2025,15-9-2025,81,2,0,0,1,0.0
14-9-2025,15-9-2025,82,3,1,1,1,1.0
14-9-2025,15-9-2025,83,5,0,0,1,0.0
14-9-2025,15-9-2025,84,3,0,0,1,1.0
14-9-2025,15-9-2025,85,2,1,0,1,0.0
14-9-2025,15-9-2025,86,2,0,0,1,1.0
14-9-2025,15-9-2025,87,2,0,1,1,0.0
14-9-2025,15-9-2025,88,2,0,0,1,1.0
14-9-2025,15-9-2025,89,2,1,0,1,0.0
14-9-2025,15-9-2025,90,1,0,0,1,0.0
14-9-2025,15-9-2025,91,0,0,0,1,1.0
14-9-2025,15-9-2025,92,2,1,0,1,0.0
14-9-2025,15-9-2025,93,2,1,0,1,0.0
