current_date,next_date,number,freq_7days,freq_prev_day,freq_3days,freq_14days,freq_30days,freq_ratio_7days,freq_ratio_30days,avg_gap,min_gap,max_gap,last_gap,consecutive_count,days_since_last,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_saturday,is_sunday,cham_dau,cham_cuoi,tong,tong_cham,tong_chan,tong_le,tong_lon,tong_nho,is_cau_ngang,is_cau_cheo,cau_ngang_strength,cau_cheo_strength,in_any_cau,is_lo_roi_ung_vien,lo_roi_ty_le,days_since_roi_db,days_since_roi_nhieu,label
6-9-2025,7-9-2025,63,2,0,1,2,2,0.2857142857142857,0.2857142857142857,1.0,1,1,1,1,2,0,0,0,0,0,1,0,6,3,9,9,0,1,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,64,1,0,0,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,3,0,0,0,0,0,1,0,6,4,10,0,1,0,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,65,1,1,1,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,0,0,0,0,0,0,1,0,6,5,11,1,0,1,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,66,3,1,1,3,3,0.42857142857142855,0.42857142857142855,3.0,1,5,5,1,0,0,0,0,0,0,1,0,6,6,12,2,1,0,1,0,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,67,2,0,0,2,2,0.2857142857142857,0.2857142857142857,1.0,1,1,1,1,4,0,0,0,0,0,1,0,6,7,13,3,0,1,1,0,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,68,2,0,1,2,2,0.2857142857142857,0.2857142857142857,2.0,2,2,2,0,1,0,0,0,0,0,1,0,6,8,14,4,1,0,1,0,1,1,22,1,1,0,0.0,0,0,1
6-9-2025,7-9-2025,69,4,0,1,4,4,0.5714285714285714,0.5714285714285714,1.6666666666666667,1,2,2,1,1,0,0,0,0,0,1,0,6,9,15,5,0,1,1,0,1,1,22,1,1,0,0.0,0,0,1
6-9-2025,7-9-2025,70,4,1,3,4,4,0.5714285714285714,0.5714285714285714,1.3333333333333333,1,2,1,2,0,0,0,0,0,0,1,0,7,0,7,7,0,1,0,1,1,1,7,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,71,1,0,0,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,3,0,0,0,0,0,1,0,7,1,8,8,1,0,0,1,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,72,1,0,1,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,2,0,0,0,0,0,1,0,7,2,9,9,0,1,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,73,1,0,0,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,6,0,0,0,0,0,1,0,7,3,10,0,1,0,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,74,0,0,0,0,0,0.0,0.0,7.0,7,7,7,0,7,0,0,0,0,0,1,0,7,4,11,1,0,1,1,0,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,75,2,1,1,2,2,0.2857142857142857,0.2857142857142857,6.0,6,6,6,0,0,0,0,0,0,0,1,0,7,5,12,2,1,0,1,0,1,1,7,1,1,1,100.0,0,0,0
6-9-2025,7-9-2025,76,0,0,0,0,0,0.0,0.0,7.0,7,7,7,0,7,0,0,0,0,0,1,0,7,6,13,3,0,1,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,77,0,0,0,0,0,0.0,0.0,7.0,7,7,7,0,7,0,0,0,0,0,1,0,7,7,14,4,1,0,1,0,1,1,22,1,1,1,0.0,0,0,1
6-9-2025,7-9-2025,78,2,1,1,2,2,0.2857142857142857,0.2857142857142857,4.0,4,4,4,0,0,0,0,0,0,0,1,0,7,8,15,5,0,1,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,79,3,0,1,3,3,0.42857142857142855,0.42857142857142855,1.0,1,1,1,2,2,0,0,0,0,0,1,0,7,9,16,6,1,0,1,0,1,1,7,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,80,3,0,2,3,3,0.42857142857142855,0.42857142857142855,1.0,1,1,1,2,1,0,0,0,0,0,1,0,8,0,8,8,1,0,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,81,2,0,1,2,2,0.2857142857142857,0.2857142857142857,3.0,3,3,3,0,2,0,0,0,0,0,1,0,8,1,9,9,0,1,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,82,1,0,0,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,3,0,0,0,0,0,1,0,8,2,10,0,1,0,1,0,1,1,7,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,83,2,0,1,2,2,0.2857142857142857,0.2857142857142857,4.0,4,4,4,0,1,0,0,0,0,0,1,0,8,3,11,1,0,1,1,0,1,1,7,1,1,0,0.0,0,0,1
6-9-2025,7-9-2025,84,1,0,1,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,2,0,0,0,0,0,1,0,8,4,12,2,1,0,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,85,0,0,0,0,0,0.0,0.0,7.0,7,7,7,0,7,0,0,0,0,0,1,0,8,5,13,3,0,1,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,86,2,0,0,2,2,0.2857142857142857,0.2857142857142857,3.0,3,3,3,0,3,0,0,0,0,0,1,0,8,6,14,4,1,0,1,0,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,87,2,0,0,2,2,0.2857142857142857,0.2857142857142857,1.0,1,1,1,1,5,0,0,0,0,0,1,0,8,7,15,5,0,1,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,88,2,0,2,2,2,0.2857142857142857,0.2857142857142857,1.0,1,1,1,1,1,0,0,0,0,0,1,0,8,8,16,6,1,0,1,0,1,1,7,1,1,0,0.0,0,0,1
6-9-2025,7-9-2025,89,0,0,0,0,0,0.0,0.0,7.0,7,7,7,0,7,0,0,0,0,0,1,0,8,9,17,7,0,1,1,0,1,1,7,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,90,1,0,1,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,2,0,0,0,0,0,1,0,9,0,9,9,0,1,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,91,2,1,1,2,2,0.2857142857142857,0.2857142857142857,3.0,3,3,3,0,0,0,0,0,0,0,1,0,9,1,10,0,1,0,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,92,2,0,1,2,2,0.2857142857142857,0.2857142857142857,4.0,4,4,4,0,1,0,0,0,0,0,1,0,9,2,11,1,0,1,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,93,1,0,0,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,5,0,0,0,0,0,1,0,9,3,12,2,1,0,1,0,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,94,3,1,2,3,3,0.42857142857142855,0.42857142857142855,2.0,2,2,2,0,0,0,0,0,0,0,1,0,9,4,13,3,0,1,1,0,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,95,2,1,1,2,2,0.2857142857142857,0.2857142857142857,5.0,5,5,5,0,0,0,0,0,0,0,1,0,9,5,14,4,1,0,1,0,1,1,7,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,96,2,0,0,2,2,0.2857142857142857,0.2857142857142857,1.0,1,1,1,1,3,0,0,0,0,0,1,0,9,6,15,5,0,1,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,97,1,1,1,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,0,0,0,0,0,0,1,0,9,7,16,6,1,0,1,0,1,1,7,1,1,0,0.0,0,0,1
6-9-2025,7-9-2025,98,1,1,1,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,0,0,0,0,0,0,1,0,9,8,17,7,0,1,1,0,1,1,7,1,1,0,0.0,0,0,1
6-9-2025,7-9-2025,99,2,0,1,2,2,0.2857142857142857,0.2857142857142857,2.0,2,2,2,0,2,0,0,0,0,0,1,0,9,9,18,8,1,0,1,0,0,1,0,1,1,0,0.0,0,0,0
7-9-2025,8-9-2025,00,1,0,1,1,1,0.14285714285714285,0.125,8.0,8,8,8,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0.0,0,0,0
7-9-2025,8-9-2025,01,2,0,1,2,2,0.2857142857142857,0.25,3.0,3,3,3,0,2,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,21,1,1,0,0.0,0,0,0
7-9-2025,8-9-2025,02,2,0,0,3,3,0.2857142857142857,0.375,1.5,1,2,1,1,4,0,0,0,0,0,0,1,0,2,2,2,1,0,0,1,1,1,21,1,1,0,0.0,0,0,0
7-9-2025,8-9-2025,03,2,1,2,3,3,0.2857142857142857,0.375,3.5,2,5,2,0,0,0,0,0,0,0,0,1,0,3,3,3,0,1,0,1,0,1,0,1,1,0,0.0,0,0,0
7-9-2025,8-9-2025,04,0,0,0,1,1,0.0,0.125,8.0,8,8,8,0,7,0,0,0,0,0,0,1,0,4,4,4,1,0,0,1,1,1,21,1,1,0,0.0,0,0,0
7-9-2025,8-9-2025,05,3,1,1,3,3,0.42857142857142855,0.375,2.5,1,4,4,1,0,0,0,0,0,0,0,1,0,5,5,5,0,1,0,1,1,1,21,1,1,0,0.0,0,0,0
7-9-2025,8-9-2025,06,1,0,1,1,1,0.14285714285714285,0.125,8.0,8,8,8,0,1,0,0,0,0,0,0,1,0,6,6,6,1,0,0,1,0,1,0,1,1,0,0.0,0,0,0
7-9-2025,8-9-2025,07,1,0,0,1,1,0.14285714285714285,0.125,8.0,8,8,8,0,5,0,0,0,0,0,0,1,0,7,7,7,0,1,0,1,1,1,21,1,1,0,0.0,0,0,0
7-9-2025,8-9-2025,08,4,1,1,4,4,0.5714285714285714,0.5,2.0,1,3,3,1,0,0,0,0,0,0,0,1,0,8,8,8,1,0,0,1,0,1,0,1,1,0,0.0,0,0,0
7-9-2025,8-9-2025,09,2,1,1,2,2,0.2857142857142857,0.25,6.0,6,6,6,0,0,0,0,0,0,0,0,1,0,9,9,9,0,1,0,1,0,1,0,1,1,0,0.0,0,0,0
7-9-2025,8-9-2025,10,0,0,0,1,1,0.0,0.125,8.0,8,8,8,0,7,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0.0,0,0,0
