current_date,next_date,number,freq_7days,freq_prev_day,is_cau_ngang,is_cau_cheo,freq_3days,freq_14days,freq_30days,freq_ratio_7days,freq_ratio_30days,avg_gap,min_gap,max_gap,last_gap,consecutive_count,days_since_last,cau_ngang_strength,cau_cheo_strength,in_any_cau,is_lo_roi_ung_vien,lo_roi_ty_le,days_since_roi_db,days_since_roi_nhieu
4-10-2025,05-10-2025,77,4,1,0,1,2,6,8,0.5714285714285714,0.27586206896551724,3.5714285714285716,1,11,1,1,0,0,32,1,0,0.0,0,0
4-10-2025,05-10-2025,78,1,0,0,1,1,1,5,0.14285714285714285,0.1724137931034483,6.25,2,12,12,0,2,0,22,1,0,0.0,0,0
4-10-2025,05-10-2025,79,2,0,0,1,1,3,5,0.2857142857142857,0.1724137931034483,3.75,1,7,1,1,2,0,4,1,0,0.0,0,0
4-10-2025,05-10-2025,80,1,0,0,1,0,1,5,0.14285714285714285,0.1724137931034483,6.25,2,13,13,0,3,0,33,1,0,0.0,0,0
4-10-2025,05-10-2025,81,2,0,0,1,2,2,4,0.2857142857142857,0.13793103448275862,7.333333333333333,1,20,1,2,1,0,19,1,0,0.0,0,0
4-10-2025,05-10-2025,82,1,0,0,1,0,5,10,0.14285714285714285,0.3448275862068966,1.8888888888888888,1,3,1,4,6,0,22,1,0,0.0,0,0
4-10-2025,05-10-2025,83,1,0,1,1,0,3,10,0.14285714285714285,0.3448275862068966,2.7777777777777777,1,9,9,5,3,2,23,1,0,0.0,0,0
4-10-2025,05-10-2025,84,0,0,0,1,0,2,7,0.0,0.2413793103448276,3.1666666666666665,1,9,2,1,7,0,38,1,0,0.0,0,0
4-10-2025,05-10-2025,85,2,0,1,1,0,2,4,0.2857142857142857,0.13793103448275862,6.666666666666667,2,14,2,0,3,2,26,1,0,0.0,0,0
4-10-2025,05-10-2025,86,1,0,0,1,0,4,7,0.14285714285714285,0.2413793103448276,2.6666666666666665,1,5,3,1,5,0,15,1,0,0.0,0,0
4-10-2025,05-10-2025,87,4,1,0,1,3,7,10,0.5714285714285714,0.3448275862068966,2.6666666666666665,1,6,1,4,0,0,27,1,0,0.0,0,0
4-10-2025,05-10-2025,88,2,0,0,1,1,5,10,0.2857142857142857,0.3448275862068966,3.0,1,5,5,1,1,0,13,1,0,0.0,0,0
4-10-2025,05-10-2025,89,2,0,0,1,1,3,8,0.2857142857142857,0.27586206896551724,2.7142857142857144,1,5,4,2,2,0,6,1,0,0.0,0,0
4-10-2025,05-10-2025,90,3,0,0,1,1,4,5,0.42857142857142855,0.1724137931034483,5.25,1,10,3,1,2,0,9,1,0,0.0,0,0
4-10-2025,05-10-2025,91,1,0,0,1,0,4,7,0.14285714285714285,0.2413793103448276,3.5,1,9,1,3,6,0,4,1,0,0.0,0,0
4-10-2025,05-10-2025,92,1,0,0,1,0,4,8,0.14285714285714285,0.27586206896551724,3.2857142857142856,2,7,2,0,5,0,3,1,0,0.0,0,0
4-10-2025,05-10-2025,93,0,0,0,1,0,2,6,0.0,0.20689655172413793,3.8,2,5,5,0,7,0,4,1,0,0.0,0,0
4-10-2025,05-10-2025,94,3,0,0,1,2,6,7,0.42857142857142855,0.2413793103448276,4.333333333333333,1,14,1,3,1,0,13,1,0,0.0,0,0
4-10-2025,05-10-2025,95,1,0,0,1,0,4,8,0.14285714285714285,0.27586206896551724,3.4285714285714284,1,5,5,1,3,0,5,1,0,0.0,0,0
4-10-2025,05-10-2025,96,1,0,0,1,1,3,6,0.14285714285714285,0.20689655172413793,4.8,4,6,6,0,2,0,8,1,0,0.0,0,0
4-10-2025,05-10-2025,97,0,0,0,1,0,1,4,0.0,0.13793103448275862,5.0,2,7,7,0,12,0,9,1,0,0.0,0,0
4-10-2025,05-10-2025,98,0,0,0,1,0,1,4,0.0,0.13793103448275862,6.333333333333333,2,15,15,0,8,0,6,1,0,0.0,0,0
4-10-2025,05-10-2025,99,3,0,0,1,1,5,7,0.42857142857142855,0.2413793103448276,2.8333333333333335,1,5,2,1,1,0,2,1,0,0.0,0,0
